Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
USD Coin,USDC,01-01-2021,1.00029035,0.99954167,0.99980687,0.99982324,944050095.2,4029299602
USD Coin,USDC,02-01-2021,1.0003242,0.99709741,0.99989587,1.00016197,1679209330,4104611883
USD Coin,USDC,03-01-2021,1.00060967,0.99840517,1.000167,0.99973591,1828596899,4208024428
USD Coin,USDC,04-01-2021,1.00049203,0.99875107,0.99962366,0.99937218,2201035267,4278604359
USD Coin,USDC,05-01-2021,1.00026852,0.99870684,0.9994254,0.99974874,1662321027,4318744242
USD Coin,USDC,06-01-2021,1.00008227,0.99787134,0.9997487,0.99968053,1791474728,4347554142
USD Coin,USDC,07-01-2021,1.00031885,0.9976543,0.99968065,0.99791185,2265386969,4411262188
USD Coin,USDC,08-01-2021,1.00224537,0.99790823,0.99791049,0.99968442,2236539817,4520698707
USD Coin,USDC,09-01-2021,1.00078214,0.99932386,0.99968448,0.9997769,1553771951,4660207976
USD Coin,USDC,10-01-2021,1.00134912,0.99944224,0.99983735,1.0000899,1917152178,4716774855
USD Coin,USDC,11-01-2021,1.00325481,0.99983442,1.00008989,0.99995103,3166658513,4674298887
USD Coin,USDC,12-01-2021,1.00103555,0.99946004,0.99996323,1.00059849,1934826250,4658372084
USD Coin,USDC,13-01-2021,1.00198306,0.99950976,1.00059838,0.9998109,1739625823,4663322064
USD Coin,USDC,14-01-2021,1.00064467,0.99937628,0.99981011,1.00011509,1810728488,4723642068
USD Coin,USDC,15-01-2021,1.00078363,0.99964213,1.00011659,1.00008539,1630000401,4821432221
USD Coin,USDC,16-01-2021,1.00095549,0.99968822,1.00008559,1.00013434,1671304227,4947600351
USD Coin,USDC,17-01-2021,1.00049757,0.99984917,1.00013432,1.00045456,1463914697,5062831585
USD Coin,USDC,18-01-2021,1.00080569,1.00001972,1.00046772,1.00056645,1412016575,5120886244
USD Coin,USDC,19-01-2021,1.00181048,0.99996802,1.00056645,1.00004061,2019188111,5133735222
USD Coin,USDC,20-01-2021,1.00032929,0.99950776,0.99999238,0.9999767,1814079623,5274469835
USD Coin,USDC,21-01-2021,1.00078147,0.99970966,0.9999767,1.00041884,1853154939,5361170944
USD Coin,USDC,22-01-2021,1.00122882,0.99977393,1.00041881,1.00027544,2196461508,5452866592
USD Coin,USDC,23-01-2021,1.00035382,0.99989427,1.00027709,1.00000646,1287925958,5499885797
USD Coin,USDC,24-01-2021,1.00135079,0.99975568,1.00000613,1.00016243,1335242694,5521308075
USD Coin,USDC,25-01-2021,1.00053052,0.99991522,1.00019956,1.00004421,1637162641,5471135512
USD Coin,USDC,26-01-2021,1.00071518,0.99991455,1.00004422,1.00007038,1584592377,5374660745
USD Coin,USDC,27-01-2021,1.00188156,0.99935367,1.00007033,1.00001762,1674268317,5465355023
USD Coin,USDC,28-01-2021,1.00026084,0.99925718,1.00000372,0.99957828,1532598984,5609908486
USD Coin,USDC,29-01-2021,1.00083792,0.99847082,0.99890559,0.99997138,2410429032,5802111761
USD Coin,USDC,30-01-2021,1.00035944,0.99972237,0.99993346,1.0000259,1443344471,5813052746
USD Coin,USDC,31-01-2021,1.00023218,0.99958176,0.99996046,0.99996079,1245897595,5868871806
USD Coin,USDC,01-02-2021,1.00018637,0.99918107,1.0000706,0.99994604,1456048772,5830863847
USD Coin,USDC,02-02-2021,1.00073425,0.9994065,0.9998855,1.0004209,1750372396,5908268417
USD Coin,USDC,03-02-2021,1.00094679,0.9995485,1.00042088,0.9997514,1827257483,6027131408
USD Coin,USDC,04-02-2021,1.00008863,0.99930166,0.99979312,0.99974067,1864772386,6077850665
USD Coin,USDC,05-02-2021,1.00059873,0.9983192,0.99979466,0.99994541,1722650454,6283928742
USD Coin,USDC,06-02-2021,1.00037858,0.99952451,0.99994541,0.99999704,1802646232,6350202802
USD Coin,USDC,07-02-2021,1.00014421,0.99962407,0.99998434,0.99988628,1416867095,6439675444
USD Coin,USDC,08-02-2021,1.00042198,0.9982476,0.99983459,0.99979745,1791932105,6439708622
USD Coin,USDC,09-02-2021,1.00220757,0.99927451,0.99979743,1.00003951,1689656162,6562229836
USD Coin,USDC,10-02-2021,1.00234893,0.99952401,1.00003951,1.00001739,2156624147,6733960451
USD Coin,USDC,11-02-2021,1.00094192,0.9994459,1.00005412,0.99984404,2045704986,6832641665
USD Coin,USDC,12-02-2021,1.00038301,0.99941258,0.99985838,0.9998242,2186409043,6870659117
USD Coin,USDC,13-02-2021,1.00014521,0.99959445,0.99982422,0.99986055,2279143401,7110307300
USD Coin,USDC,14-02-2021,1.00056412,0.99967632,0.99986032,1.00002547,1913316177,7285556445
USD Coin,USDC,15-02-2021,1.00118637,0.99968154,1.00002558,1.00003914,2214311704,7285655980
USD Coin,USDC,16-02-2021,1.00026939,0.99981756,1.00003912,1.00011428,2062438717,7286203416
USD Coin,USDC,17-02-2021,1.00104438,0.99968862,1.00005664,0.99984083,2132590491,7284211261
USD Coin,USDC,18-02-2021,1.00029892,0.99979946,0.99980022,1.00004617,2094266690,7285707194
USD Coin,USDC,19-02-2021,1.0006327,0.99976974,1.00010658,1.00005082,2321201287,7285741130
USD Coin,USDC,20-02-2021,1.00015,0.99956048,1.00005083,0.99985207,2471881936,7576682026
USD Coin,USDC,21-02-2021,1.0002562,0.99972788,0.99985352,0.99994535,1945631587,7738071713
USD Coin,USDC,22-02-2021,1.00191666,0.9981835,0.99993673,1.00007366,3584165265,7860140257
USD Coin,USDC,23-02-2021,1.00170194,0.99965771,1.00002074,1.00022051,4522385569,7981667377
USD Coin,USDC,24-02-2021,1.00336844,0.99982359,1.00001927,1.00022884,2427751206,8132862060
USD Coin,USDC,25-02-2021,1.00070955,0.99995892,1.00021998,1.00007188,2301651550,8328439670
USD Coin,USDC,26-02-2021,1.0004738,0.99970946,1.00015335,0.99998599,2459413406,8594704362
USD Coin,USDC,27-02-2021,1.00020391,0.99979007,0.99997267,1.00003089,1776838289,8658975906
USD Coin,USDC,28-02-2021,1.0010073,0.99994157,1.00009468,1.00029625,2268777551,8897551099
USD Coin,USDC,01-03-2021,1.00060194,0.99962487,1.00026643,0.99975693,1740798094,8866076772
USD Coin,USDC,02-03-2021,1.00043198,0.99960763,0.99976781,1.00007774,1949254169,8752919055
USD Coin,USDC,03-03-2021,1.00057911,0.9998197,1.00007776,1.00000157,1905564606,8669892780
USD Coin,USDC,04-03-2021,1.00040068,0.99989428,1.00000157,1.0001626,1665593866,8655539972
USD Coin,USDC,05-03-2021,1.00119624,1.0000312,1.00016257,1.00027743,1973917285,8674150228
USD Coin,USDC,06-03-2021,1.00097566,0.99945071,1.00048355,0.99988131,1275477009,8822775167
USD Coin,USDC,07-03-2021,1.00037489,0.99973113,0.99988131,0.99999415,1215837774,8969172584
USD Coin,USDC,08-03-2021,1.00152595,0.99988874,0.99995253,0.99998412,1441044445,8934282355
USD Coin,USDC,09-03-2021,1.00286072,0.99995765,0.9999842,1.00007396,1683029544,8982652500
USD Coin,USDC,10-03-2021,1.0009402,0.99991896,1.000139,1.00005183,1751024086,8967187808
USD Coin,USDC,11-03-2021,1.00080428,0.99980603,1.00000378,1.00012912,1487841641,9130585980
USD Coin,USDC,12-03-2021,1.00088248,0.99979369,1.00014189,1.00017443,1612404621,9135678065
USD Coin,USDC,13-03-2021,1.00070988,0.99987781,1.0001737,1.00023186,2044348842,9266074221
USD Coin,USDC,14-03-2021,1.00021602,0.99980722,1.00012934,0.99999785,1544999695,9276209312
USD Coin,USDC,15-03-2021,1.0008979,0.99929695,0.99992842,1.00008406,1927366887,9337446568
USD Coin,USDC,16-03-2021,1.00036268,0.99955086,1.00008408,0.99999413,1868824949,9278101102
USD Coin,USDC,17-03-2021,1.00209747,0.99866568,0.99999419,0.99890232,1782793504,9352365810
USD Coin,USDC,18-03-2021,1.00145124,0.99869677,0.99885683,1.00099445,1525693757,9481988796
USD Coin,USDC,19-03-2021,1.00398159,1.00032308,1.00095309,1.0024375,1472879184,9767228911
USD Coin,USDC,20-03-2021,1.00392561,1.00130324,1.00243505,1.00215144,1191670789,9848966630
USD Coin,USDC,21-03-2021,1.00257206,0.99928128,1.00209129,1.00096234,1265098606,9918143113
USD Coin,USDC,22-03-2021,1.00398855,0.99908933,1.00098912,1.00131022,1380781628,10036692734
USD Coin,USDC,23-03-2021,1.00202507,1.00024567,1.00134486,1.00080404,1511795325,10090872105
USD Coin,USDC,24-03-2021,1.00231253,0.99986117,1.00093782,1.00155362,1916803425,10167631689
USD Coin,USDC,25-03-2021,1.00153943,1.00012583,1.00149147,1.00083002,1646557726,10338431177
USD Coin,USDC,26-03-2021,1.00218037,0.99933677,1.00076501,1.00080149,1591672366,10588724708
USD Coin,USDC,27-03-2021,1.00171387,0.99975653,1.00070095,1.00027398,1340283946,10657171951
USD Coin,USDC,28-03-2021,1.00253907,1.00000715,1.00028429,1.0007922,1294220918,10768922656
USD Coin,USDC,29-03-2021,1.00085769,0.9993613,1.00080241,1.00002413,1535871374,10555729469
USD Coin,USDC,30-03-2021,1.00094569,0.99931598,1.00002906,1.0005575,1506313602,10672829323
USD Coin,USDC,31-03-2021,1.0019139,0.99918056,1.00058849,0.99960549,1589845937,10656787148
USD Coin,USDC,01-04-2021,1.0012248,0.99941303,0.99969073,1.00086919,1515653266,10640299852
USD Coin,USDC,02-04-2021,1.00198544,0.99897566,1.00070399,1.0003495,1645041684,10694274869
USD Coin,USDC,03-04-2021,1.00286351,0.99810032,1.00029344,1.00279087,1521294666,10650300099
USD Coin,USDC,04-04-2021,1.01109822,1.00092679,1.00272292,1.00295733,1205342903,10884944736
USD Coin,USDC,05-04-2021,1.00434406,0.9998302,1.00305818,1.00004472,1398732746,10805209578
USD Coin,USDC,06-04-2021,1.00189319,0.99948338,1.00014283,1.00142253,1519196566,10714215062
USD Coin,USDC,07-04-2021,1.00254146,1.00079804,1.00147013,1.00223668,1821911304,10785983094
USD Coin,USDC,08-04-2021,1.00240424,1.00001157,1.00232806,1.00023984,1443171575,10942441781
USD Coin,USDC,09-04-2021,1.0016753,1.00020338,1.00020338,1.00149293,1140401440,10905870848
USD Coin,USDC,10-04-2021,1.00249767,0.99824892,1.00151072,1.00059054,1642749490,10954682454
USD Coin,USDC,11-04-2021,1.00309663,0.99957754,1.00059388,1.00286998,1336026255,11065073074
USD Coin,USDC,12-04-2021,1.00275735,0.99984199,1.00275735,1.000371,1582588399,10791909575
USD Coin,USDC,13-04-2021,1.00114932,0.99917586,1.00037329,0.99945584,1943769751,10823831921
USD Coin,USDC,14-04-2021,1.00265337,0.99925773,0.9994223,1.00143641,2400110758,11270550187
USD Coin,USDC,15-04-2021,1.00305078,0.99996305,1.00146946,1.00032616,1888693157,11310637809
USD Coin,USDC,16-04-2021,1.0026013,0.99941708,1.00022926,1.00103346,2557259201,11318635266
USD Coin,USDC,17-04-2021,1.0107246,0.99876897,1.00103545,1.01049621,2143517952,11425630120
USD Coin,USDC,18-04-2021,1.02652949,0.99980007,1.0105723,1.00009452,3829528301,11308018713
USD Coin,USDC,19-04-2021,1.00019997,0.99980004,1.00014198,0.99996707,2323105009,11306577613
USD Coin,USDC,20-04-2021,1.00019968,0.9998002,1.00011498,1.00005423,2318491536,11307563186
USD Coin,USDC,21-04-2021,1.00019965,0.99980001,1.00014759,1.00013383,2311278586,11308463144
USD Coin,USDC,22-04-2021,1.00019979,0.99980016,0.99980583,1.00002821,3112810473,11243603612
USD Coin,USDC,23-04-2021,1.00019919,0.99980019,1.00015802,0.99997809,3676677427,11243040139
USD Coin,USDC,24-04-2021,1.00019976,0.99980023,0.99996855,1.00006491,1788061914,11244016314
